bin,mean_return,rows
1,-0.00019033037161963012,110982
2,-0.00013112028759013327,121355
3,-0.00013437509129924207,161966
4,-7.386282680344678e-05,121643
5,-6.364680519508358e-05,159566
6,-4.378247041204571e-05,137296
7,-3.9340100096397845e-05,176418
8,-3.6920318286774655e-05,123173
9,-3.4471222882889956e-05,160247
10,-1.7799131987361314e-05,121234
11,-2.2081530928974814e-05,180092
12,-8.563087910198912e-06,117857
13,-1.0038963954732873e-05,165563
14,2.1172801125401233e-05,134179
15,2.096871299877399e-05,164145
16,2.3456355598401708e-05,132566
17,3.078969019605064e-05,164033
18,6.391175332601361e-05,119727
19,7.262529058612374e-05,163594
20,9.213756115369749e-05,203899
