month,ic,rows
2020-01,0.032179029704628305,206469
2020-02,0.0014029628181118049,163452
2020-03,0.025986818270244138,180119
2020-04,0.000356404505063009,175830
2020-05,0.07579221900529283,245850
2020-06,0.04014175960295672,269027
2020-07,0.02990097523566316,316667
2020-08,0.028297192852524383,286473
2020-09,0.059942124329127586,296947
2020-10,-0.0329356470630289,219635
2020-11,0.01292056038694405,287578
2020-12,0.02687671010026181,291488
