month,n,ic,rank_ic
2020-01,206469,0.032179029704628305,0.057190771042227494
2020-02,163452,0.0014029628181118049,0.05413863172280349
2020-03,180119,0.025986818270244138,0.04091721527092883
2020-04,175830,0.000356404505063009,0.04145627329524225
2020-05,245850,0.07579221900529283,0.08735223502343949
2020-06,269027,0.04014175960295672,0.061741211017984264
2020-07,316667,0.02990097523566316,0.04293105805468791
2020-08,286473,0.028297192852524383,0.0343645544916015
2020-09,296947,0.059942124329127586,0.06829598463356201
2020-10,219635,-0.0329356470630289,-0.011771051533198594
2020-11,287578,0.01292056038694405,0.03292439974341427
2020-12,291488,0.02687671010026181,0.04960283493124513
