split,train_start,train_end,test_start,test_end,train_windows,val_windows,test_windows,ic,rank_ic
2020M01,2018-01-01,2020-01-01,2020-01-01,2020-02-01,220000,40000,206469,0.032179029704628305,0.057190771042227494
2020M02,2018-01-01,2020-02-01,2020-02-01,2020-03-01,220000,40000,163452,0.0014029628181118049,0.05413863172280349
2020M03,2018-01-01,2020-03-01,2020-03-01,2020-04-01,220000,40000,180119,0.025986818270244138,0.04091721527092883
2020M04,2018-01-01,2020-04-01,2020-04-01,2020-05-01,220000,40000,175830,0.000356404505063009,0.04145627329524225
2020M05,2018-01-01,2020-05-01,2020-05-01,2020-06-01,220000,40000,245850,0.07579221900529283,0.08735223502343949
2020M06,2018-01-01,2020-06-01,2020-06-01,2020-07-01,220000,40000,269027,0.04014175960295672,0.061741211017984264
2020M07,2018-01-01,2020-07-01,2020-07-01,2020-08-01,220000,40000,316667,0.02990097523566316,0.04293105805468791
2020M08,2018-01-01,2020-08-01,2020-08-01,2020-09-01,220000,40000,286473,0.028297192852524383,0.0343645544916015
2020M09,2018-01-01,2020-09-01,2020-09-01,2020-10-01,220000,40000,296947,0.059942124329127586,0.06829598463356201
2020M10,2018-01-01,2020-10-01,2020-10-01,2020-11-01,220000,40000,219635,-0.0329356470630289,-0.011771051533198594
2020M11,2018-01-01,2020-11-01,2020-11-01,2020-12-01,220000,40000,287578,0.01292056038694405,0.03292439974341427
2020M12,2018-01-01,2020-12-01,2020-12-01,2021-01-01,220000,40000,291488,0.02687671010026181,0.04960283493124513
