month,count,mean,std
2019-01,212,0.07732961496916481,0.22260503437395304
2019-02,140,0.05383453837670719,0.2207217964249852
2019-03,202,0.07478823069088843,0.20484840274800742
2019-04,183,0.07266490921999018,0.2352295282616625
2019-05,190,0.07877487878431566,0.2045114913985179
2019-06,177,0.07502014520492584,0.23167524570366643
2019-07,220,0.059097031442268584,0.21952970259306595
2019-08,210,0.060134988808117455,0.19483268877912263
2019-09,188,0.08707085855248226,0.19874189683522378
2019-10,174,0.09195727785017566,0.23738448055136047
2019-11,204,0.05288054977577036,0.1800349825406619
2019-12,199,0.05651275243846484,0.20660538783139493
