sector,n,merged_ic,merged_rankic
agriculture,798389,0.06462591141462326,0.0872826900274641
black,515750,0.05261910334229469,0.0652185695418132
chemicals,488301,0.06233932822942734,0.08328404350276002
energy,220434,0.027910903096199036,0.045046251223796796
metals,465215,0.02962196059525013,0.049578722241862695
precious,200314,0.01656472310423851,0.03651950884423402
