model,pooled_ic,SN_nonoverlap_ic,raw_nonoverlap_ic,dense_cs_ic,merged_pearson_ic,n_nonoverlap_ts,n_dense_ts,rows,label_rows
mlp_time120_slope_a025_strong,0.05075568208671061,0.06509744086199025,0.058495991928209166,0.060920710247869346,0.050787169297134276,3086,92619,3915511,2939535
lgb_ref_time90_a1_signed_abs12_a08,0.050034170738192024,0.06513804594036743,0.06023537110807078,0.06738868713537931,0.049750908776931585,3086,92619,3915511,2939535
ridge_simplex_basic_full2019,0.0424810318305862,0.06418275773423474,0.055824263033984696,0.051803026209594975,0.042368359500531805,3087,92619,3915511,2939535
