sector,n,merged_ic,merged_rankic
agriculture,805646,0.05786726623773575,0.07473820501608884
black,533599,0.047560080885887146,0.06225231354843248
chemicals,613411,0.051178280264139175,0.0742623579341484
energy,245866,0.04491515830159187,0.05018042036730089
metals,447326,0.0352892130613327,0.049521422787774716
precious,181646,0.023447321727871895,0.03876129148500417
