datetime,n,ic,month,session_type
2019-01-02 08:59:00,36,-0.1377091377091377,2019-01,day
2019-01-02 09:29:00,41,-0.11259260328103707,2019-01,day
2019-01-02 09:59:00,40,-0.16182747801469963,2019-01,day
2019-01-02 10:44:00,39,0.18713926449469978,2019-01,day
2019-01-02 13:44:00,40,0.028094940496326187,2019-01,day
2019-01-02 14:14:00,40,0.38337399811794687,2019-01,day
2019-01-02 21:12:00,31,0.010887096774193548,2019-01,night
2019-01-02 21:42:00,31,0.13870967741935486,2019-01,night
2019-01-02 22:12:00,30,0.24656804742748173,2019-01,night
2019-01-02 22:42:00,24,-0.22782608695652173,2019-01,night
2019-01-03 09:11:00,39,-0.11903436423969611,2019-01,day
2019-01-03 09:41:00,38,-0.012042918379778255,2019-01,day
2019-01-03 10:11:00,39,0.0403549431230037,2019-01,day
2019-01-03 10:56:00,40,0.08338031844666483,2019-01,day
2019-01-03 13:56:00,39,0.1640008132420801,2019-01,day
2019-01-03 14:26:00,39,0.15529459723046352,2019-01,day
2019-01-03 21:24:00,30,0.06562847608453838,2019-01,night
2019-01-03 21:54:00,30,0.24760845383759733,2019-01,night
2019-01-03 22:24:00,31,0.058894720402874495,2019-01,night
2019-01-03 22:54:00,25,0.2946153846153846,2019-01,night
2019-01-04 09:22:00,41,0.13519752615289538,2019-01,day
2019-01-04 09:52:00,41,-0.10905923344947735,2019-01,day
2019-01-04 10:37:00,41,0.012544100364701634,2019-01,day
2019-01-04 13:37:00,41,0.14006968641114984,2019-01,day
2019-01-04 14:07:00,41,0.05702081817471999,2019-01,day
2019-01-04 21:05:00,31,-0.17053490014313663,2019-01,night
2019-01-04 21:35:00,31,0.06252521686606538,2019-01,night
2019-01-04 22:05:00,30,-0.047613750433690656,2019-01,night
2019-01-04 22:35:00,24,0.06521739130434782,2019-01,night
2019-01-07 09:03:00,39,0.12146363697928175,2019-01,day
2019-01-07 09:33:00,40,0.07150585189867635,2019-01,day
2019-01-07 10:03:00,40,0.10044645950024313,2019-01,day
2019-01-07 10:48:00,40,0.1985363142480606,2019-01,day
2019-01-07 13:48:00,40,0.041858287105245716,2019-01,day
2019-01-07 14:18:00,41,0.1262250099198102,2019-01,day
2019-01-07 21:16:00,30,0.1284220024850595,2019-01,night
2019-01-07 21:46:00,30,0.06874304783092325,2019-01,night
2019-01-07 22:16:00,30,0.5072476376681545,2019-01,night
2019-01-07 22:46:00,24,0.24717154704912128,2019-01,night
2019-01-08 09:14:00,38,-0.31589889484626327,2019-01,day
2019-01-08 09:44:00,40,0.1869106281707892,2019-01,day
2019-01-08 10:14:00,39,0.17764056908219955,2019-01,day
2019-01-08 10:59:00,38,0.05517846239462037,2019-01,day
2019-01-08 13:59:00,40,0.03564727954971857,2019-01,day
2019-01-08 14:29:00,40,-0.16865323302270524,2019-01,day
2019-01-08 21:27:00,30,0.216703920555942,2019-01,night
2019-01-08 21:57:00,31,0.05489407436560138,2019-01,night
2019-01-08 22:27:00,30,0.2089088154999729,2019-01,night
2019-01-08 22:57:00,23,-0.08893280632411067,2019-01,night
2019-01-09 09:26:00,40,0.2488264007698894,2019-01,day
2019-01-09 09:56:00,40,0.21257035647279549,2019-01,day
2019-01-09 10:41:00,41,0.18504966302877113,2019-01,day
2019-01-09 13:41:00,39,-0.13421052631578947,2019-01,day
2019-01-09 14:11:00,40,-0.11093384609506823,2019-01,day
2019-01-09 21:09:00,29,-0.014785610469970952,2019-01,night
2019-01-09 21:39:00,29,-0.16345728839365195,2019-01,night
2019-01-09 22:09:00,29,0.07540661339685185,2019-01,night
2019-01-09 22:39:00,23,-0.11363636363636363,2019-01,night
2019-01-10 09:09:00,39,0.08517123674201788,2019-01,day
2019-01-10 09:39:00,41,-0.023170731707317076,2019-01,day
2019-01-10 10:09:00,42,0.1640581189868174,2019-01,day
2019-01-10 10:54:00,40,0.14202457077035596,2019-01,day
2019-01-10 13:54:00,39,0.017813765182186234,2019-01,day
2019-01-10 14:24:00,38,-0.1339687516435454,2019-01,day
2019-01-10 21:22:00,29,0.18029556650246306,2019-01,night
2019-01-10 21:52:00,29,0.06899951552653111,2019-01,night
2019-01-10 22:22:00,29,-0.07259281387875177,2019-01,night
2019-01-10 22:52:00,23,-0.004941932446396688,2019-01,night
2019-01-11 09:21:00,40,-0.14896810506566605,2019-01,day
2019-01-11 09:51:00,40,0.17993339294619937,2019-01,day
2019-01-11 10:36:00,39,-0.12151900291863621,2019-01,day
2019-01-11 13:36:00,41,0.5065342471041786,2019-01,day
2019-01-11 14:06:00,41,-0.1599581832960564,2019-01,day
2019-01-11 21:04:00,30,-0.014740481096208149,2019-01,night
2019-01-11 21:34:00,29,0.26780955427303765,2019-01,night
2019-01-11 22:04:00,29,0.18177339901477832,2019-01,night
2019-01-11 22:34:00,23,0.36201798124589446,2019-01,night
2019-01-14 09:02:00,37,-0.18207681365576103,2019-01,day
2019-01-14 09:32:00,38,0.2724736011081689,2019-01,day
2019-01-14 10:02:00,38,0.08708516562274621,2019-01,day
2019-01-14 10:47:00,38,-0.11215669110405953,2019-01,day
2019-01-14 13:47:00,39,-0.293569657884272,2019-01,day
2019-01-14 14:17:00,40,-0.01435945723565604,2019-01,day
2019-01-14 21:15:00,30,0.2076563749021846,2019-01,night
2019-01-14 21:45:00,29,0.13997044578239165,2019-01,night
2019-01-14 22:15:00,29,0.21431210902798178,2019-01,night
2019-01-14 22:45:00,23,0.5123642466813478,2019-01,night
2019-01-15 09:13:00,39,-0.09009921221324155,2019-01,day
2019-01-15 09:43:00,39,0.2802433049313707,2019-01,day
2019-01-15 10:13:00,36,-0.06036424492839607,2019-01,day
2019-01-15 10:58:00,37,0.002608025610651008,2019-01,day
2019-01-15 13:58:00,36,0.2497425417482423,2019-01,day
2019-01-15 14:28:00,37,0.031059214090480184,2019-01,day
2019-01-15 21:26:00,30,0.07096774193548386,2019-01,night
2019-01-15 21:56:00,30,-0.146734789094072,2019-01,night
2019-01-15 22:26:00,30,0.3359042964954099,2019-01,night
2019-01-15 22:56:00,24,0.057441275018457756,2019-01,night
2019-01-16 09:25:00,38,0.20703616598259256,2019-01,day
2019-01-16 09:55:00,39,0.063797476532284,2019-01,day
2019-01-16 10:40:00,37,0.0942948807737911,2019-01,day
2019-01-16 13:40:00,38,0.012364591311959734,2019-01,day
2019-01-16 14:10:00,39,-0.005263157894736842,2019-01,day
2019-01-16 21:08:00,29,0.13251231527093596,2019-01,night
2019-01-16 21:38:00,29,0.046311122410644334,2019-01,night
2019-01-16 22:08:00,29,0.24802185355319603,2019-01,night
2019-01-16 22:38:00,22,-0.04126627849346348,2019-01,night
2019-01-17 09:07:00,37,0.2105325954383386,2019-01,day
2019-01-17 09:37:00,36,0.32715572715572716,2019-01,day
2019-01-17 10:07:00,37,-0.10467607656652009,2019-01,day
2019-01-17 10:52:00,38,0.06249316117753556,2019-01,day
2019-01-17 13:52:00,38,0.19553320205712693,2019-01,day
2019-01-17 14:22:00,38,0.2735033446281285,2019-01,day
2019-01-17 21:20:00,27,0.12393162393162394,2019-01,night
2019-01-17 21:50:00,29,0.09777807583668606,2019-01,night
2019-01-17 22:20:00,28,0.40963861564529247,2019-01,night
2019-01-17 22:50:00,23,0.2915740143374046,2019-01,night
2019-01-18 09:18:00,38,0.19850084835751738,2019-01,day
2019-01-18 09:48:00,38,0.24982218125700784,2019-01,day
2019-01-18 10:33:00,37,0.19001308050265828,2019-01,day
2019-01-18 13:33:00,39,0.45629839625216845,2019-01,day
2019-01-18 14:03:00,38,0.009520161966429996,2019-01,day
