_period,ic
2020-01,0.08138517922041884
2020-02,0.07050125656334578
2020-03,0.057066220091752294
2020-04,0.04486629824038022
2020-05,0.07022338802028259
2020-06,0.07130830220099914
2020-07,0.07091958429179027
2020-08,0.05861617824385259
2020-09,0.058603861772508065
2020-10,0.04956700287071071
2020-11,0.048645594765781404
2020-12,0.059867795391254815
