candidate,method,cols_json,q2_ic,q3_ic,q4_ic,h2_ic,cv_mean_q2q4,cv_std_q2q4,cv_min_q2q4,score_mean_m025std,score_mean_m050std,score_q3_h2,score_q3_q4_h2,score_min_mean,weights_by_fold_json,audit2020_rows,audit2020_label_rows,audit2020_pooled_ic,audit2020_monthly_mean,audit2020_monthly_std,audit2020_monthly_ir,selector_winner,winner_selectors
raw_xsz6__signed_ridge_a01__time90_a0.25,signed_ridge_a01_timecal,"[""mlp"", ""lgb"", ""ridge"", ""mlp_xsz"", ""lgb_xsz"", ""ridge_xsz""]",0.0779885400638502,0.0594078665932513,0.0637645399252504,0.0611828041847261,0.0670536488607839,0.009717203036245,0.0594078665932513,0.0646243481017227,0.0621950473426614,0.1205906707779774,0.1843552107032278,0.0761712788084472,"{""h2"": [0.0008303087190651574, 0.0005235017169474647, 8.025158447676336e-05, 1.7209810969976195e-05, 2.374605787845566e-05, 8.978347287393812e-06], ""q2"": [0.0008305948904654543, 0.0006388010998627414, 5.6482967128408146e-05, -9.441947636594415e-06, 2.4912782006331155e-06, 1.1076795178306717e-05], ""q3"": [0.0008303087190651574, 0.0005235017169474647, 8.025158447676336e-05, 1.7209810969976195e-05, 2.374605787845566e-05, 8.978347287393812e-06], ""q4"": [0.0006221123529875883, 0.0004220068631855728, 9.220048841352019e-05, 2.8558471145944266e-05, 2.5515726493083176e-05, 8.879951719161952e-06]}",3915511,2939535,0.057292659680626044,0.059618699422496584,0.012033060191247391,4.954575018735636,True,score_mean_m025std|score_mean_m050std|score_q3_h2|score_q3_q4_h2|score_min_mean|h2_ic
mlp_lgb_xsz2__equal,equal,"[""mlp_xsz"", ""lgb_xsz""]",0.0728963464148109,0.0562892613731661,0.0659977029852008,0.0603386736173878,0.0650611035910593,0.0083430649172792,0.0562892613731661,0.0629753373617394,0.0608895711324196,0.1166279349905539,0.1826256379757547,0.0725545372709309,"{""h2"": [0.5, 0.5], ""q2"": [0.5, 0.5], ""q3"": [0.5, 0.5], ""q4"": [0.5, 0.5]}",3915511,2939535,0.055013118408344455,0.05729741839239453,0.01077832653204306,5.315984649570053,True,q4_ic
