experiment,fit_window_mode,calibration_kind,alpha,bucket_minutes,min_count,k,clip_low,clip_high,screen_mean_2019q2q4,screen_std_2019q2q4,screen_score_mean_minus_0p25std,screen_h2_mean,screen_q4_mean,q2_mean,q3_mean,q4_mean
none_last3,last3,none,0.0,,1000,5000.0,0.5,1.5,0.061625424319811106,0.01031198818896624,0.05904742727256955,0.056185011664437505,0.05513857785586209,0.07250624963055834,0.0572314454730129,0.05513857785586209
time120_slope_a0.25_strong,expanding,time_bucket,0.25,120.0,5000,20000.0,0.8,1.2,0.06143169278541057,0.010076439632866804,0.05891258287719387,0.055896081193395175,0.05420501028148297,0.0725029159694414,0.057587152105307376,0.05420501028148297
time60_slope_a0.25_strong,expanding,time_bucket,0.25,60.0,5000,20000.0,0.8,1.2,0.06142690266686614,0.01006054483483155,0.05891176645815825,0.055902557911022464,0.05421550924465293,0.07247559217855347,0.05758960657739199,0.05421550924465293
time60_slope_a0.5_strong,expanding,time_bucket,0.5,60.0,5000,20000.0,0.8,1.2,0.06141742921547347,0.010032997291195413,0.058909179892674614,0.05594243007271952,0.054298412337654894,0.07236742750098131,0.057586447807784165,0.054298412337654894
time120_slope_a0.5_strong,expanding,time_bucket,0.5,120.0,5000,20000.0,0.8,1.2,0.06142163326078016,0.010065079676884142,0.058905363341559124,0.0559237844971883,0.054269432762091875,0.07241733078796385,0.05757813623228473,0.054269432762091875
none_expanding,expanding,none,0.0,,1000,5000.0,0.5,1.5,0.061374113921997514,0.010083804596767302,0.05885316277280569,0.05580804606771711,0.05407823322100975,0.07250624963055834,0.05753785891442446,0.05407823322100975
none_last6,last6,none,0.0,,1000,5000.0,0.5,1.5,0.06119109364274858,0.0102611299623253,0.05862581115216725,0.05553351564884368,0.0535291723832629,0.07250624963055834,0.05753785891442446,0.0535291723832629
