model,window,rows,label_rows,pred_viewcal_ic,pred_viewcal_monthly_mean,pred_viewcal_monthly_std,pred_viewcal_monthly_ir
mlp_overlap333_xsz_hl12_n1200k_raw_center_z__row__simplex_time120_slope_a0.25_strong_expanding_single,2019_fit_window,3852582,2932841,0.060565162355948006,0.06074367563666361,0.01044357574493036,5.816367604376355
mlp_overlap333_xsz_hl12_n1200k_raw_center_z__row__simplex_time120_slope_a0.25_strong_expanding_single,2019_screen_all,3852582,2932841,0.060565162355948006,0.06074367563666361,0.01044357574493036,5.816367604376355
mlp_overlap333_xsz_hl12_n1200k_raw_center_z__row__simplex_time120_slope_a0.25_strong_expanding_single,2020,3915511,2939535,0.05075568208704336,0.05295362280938698,0.013626939645100165,3.8859512251841153
mlp_overlap333_xsz_hl12_n1200k_raw_center_z__row__simplex_time120_slope_a0.25_strong_expanding_single,2019_2020,7768093,5872376,0.05463966917644748,0.056848649223025294,0.01252213497745851,4.5398527747353254
