bin,mean_return,rows
1,-0.0005046051,110982
2,-0.00031382358,121355
3,-0.00022088776,161966
4,-0.00017636898,121643
5,-0.00014453243,159566
6,-0.00010943172,137296
7,-7.493663e-05,176418
8,-6.634163e-05,123173
9,-4.4267774e-05,160247
10,-1.2379144e-05,121234
11,-1.3596105e-05,180092
12,-7.579395e-06,117857
13,3.2970027e-05,165563
14,4.7089943e-05,134179
15,8.454946e-05,164145
16,9.5013515e-05,132566
17,0.00013343846,164033
18,0.00014148993,119727
19,0.00019246782,163594
20,0.00028033004,203899
