bin,mean_return,rows
1,-0.00043341858,110982
2,-0.0002893807,121355
3,-0.00022435316,161966
4,-0.00020019904,121643
5,-0.00015247565,159566
6,-0.00012319251,137296
7,-7.485533e-05,176418
8,-7.89366e-05,123173
9,-4.6883873e-05,160247
10,-4.682925e-05,121234
11,-1.1868141e-05,180092
12,3.988603e-06,117857
13,3.1292864e-05,165563
14,5.642311e-05,134179
15,8.128715e-05,164145
16,8.8713256e-05,132566
17,0.000131268,164033
18,0.00015073469,119727
19,0.0001951794,163594
20,0.00027743622,203899
