k,val_ic_2019q4
50,0.0741325504021759
100,0.07249975690845328
150,0.07526150053972734
200,0.07731578728617226
300,0.07712391389045462
400,0.0811300418268651
600,0.08142048696650703
800,0.08020022936001417
1000,0.07537582059544881
1144,0.07699786026758236
