month,n,ic,rank_ic
2019-01,234529,0.030318298250924455,0.05029849509565946
2019-02,156853,0.022796028448737637,0.043486186259760334
2019-03,220942,0.03847551002029555,0.06478177870612632
2019-04,194721,0.05081629722952572,0.07574910008211162
2019-05,214603,0.03145691192440531,0.05356581627875332
2019-06,208301,0.02554369429224398,0.054528489591834574
2019-07,258077,0.014046469103642678,0.040514590278813455
2019-08,253582,0.008298887821589126,0.030999434594342217
2019-09,226242,0.02828938919892182,0.06007156581966542
2019-10,220201,0.03302464348526981,0.052996096311592314
2019-11,251673,0.03796851264065241,0.0633978266578481
2019-12,258766,0.03325231691747704,0.06046025566351504
2020-01,194504,0.035308340654517004,0.05645633526713618
2020-02,163321,0.04358452885068825,0.06275776638016403
2020-03,180069,0.01726229016412194,0.037657015892889244
2020-04,175812,0.0190484972336744,0.03449828284868478
2020-05,236998,0.03593716411997856,0.05837195451834933
2020-06,263643,0.029283265502489116,0.0524015471444346
2020-07,309953,0.027016000393184955,0.05033749360575289
2020-08,278532,0.02594817445519068,0.04511148199455309
2020-09,290742,0.028712194785277666,0.042057818819259116
2020-10,214627,0.01463394211487203,0.027738969945425563
2020-11,281971,0.01445958572515478,0.03103160302592334
2020-12,285516,0.02249687187965072,0.04057420877485753
