bin,mean_return,rows
1,-0.0002298340983776115,110982
2,-0.00016768278350640494,121355
3,-0.0001409060857932192,161966
4,-9.553786987228105e-05,121643
5,-6.385442412833581e-05,159566
6,-7.279951420728348e-05,137296
7,-4.1413059405150556e-05,176418
8,-5.269453539927594e-05,123173
9,-4.349068833854819e-05,160247
10,-2.9239354801041695e-05,121234
11,-2.77330986892672e-05,180092
12,-3.2937152237024026e-05,117857
13,5.506576698690682e-06,165563
14,1.1671954258883803e-05,134179
15,2.4517477359091616e-05,164145
16,3.86842958363657e-05,132566
17,6.684309185661962e-05,164033
18,5.358135125318015e-05,119727
19,0.00010766583161035917,163594
20,0.00014733355492280644,203899
