month,n,ic,rank_ic
2020-01,206469,0.0509500493064072,0.06815018238360872
2020-02,163452,0.020312220816763316,0.06270706939822605
2020-03,180119,0.02850509380065447,0.042970327921142304
2020-04,175830,0.04554642117011209,0.07305410646263864
2020-05,245850,0.06686788724931948,0.08160135064105337
2020-06,269027,0.039276316132666425,0.060792136954476064
2020-07,316667,0.029672057038496465,0.04729948629831157
2020-08,286473,0.0392459405834258,0.045859191364642754
2020-09,296947,0.05215520360300754,0.06104677202362182
2020-10,219635,0.0069484950669754025,0.028615723916713222
2020-11,287578,0.01478446273053831,0.033343943334326547
2020-12,291488,0.013202647332815783,0.03713382040342154
