symbol,n,ic,rank_ic
A,55845,-0.011543106719522356,0.01827546119104612
AG,92439,0.01186697643520371,0.04053670595621488
AL,76169,0.021328179562055266,0.047179674269351296
AP,40022,-0.03126075764236756,0.003173916413156468
AU,92398,0.02316764428651424,0.03042710620811205
B,55617,0.04003239888952439,0.02726850936362527
BU,55905,0.03072523260293639,0.05247578114615587
C,55812,0.07265115221539999,0.10096238980123831
CF,55659,0.04384521065973861,0.05851007184711073
CJ,39942,0.029937675075408628,0.05963535508597213
CS,55735,0.05561969054495607,0.06565582674404803
CU,76585,0.016394944553125772,0.035979054814642565
CY,51801,0.05597144900303624,0.06367122624231489
EB,55591,0.027937846306910066,0.04290798871496997
EG,55776,0.052877950741907785,0.060505778429114566
FB,20278,0.09588238817312565,0.08381969935828086
FG,55684,0.04689085480566793,0.08093490135177323
FU,55965,0.028725718662731402,0.04738707603281311
HC,55859,0.03873680285511645,0.051374930954740355
I,55869,0.04954769806511759,0.05457748029262014
J,55745,0.03329346452444672,0.049495947373799386
JD,40209,0.049089146358465396,0.058634645571107195
JM,55679,-0.00044831056788312176,0.01947350304399272
L,55698,0.04269247007389249,0.06950613827267577
M,55806,0.06098358977609253,0.05870453077714298
MA,55578,0.037028281068237336,0.05895735435375925
NI,76635,0.019390454242475635,0.02736019361872885
NR,52410,0.05007297801013625,0.048333892824201995
OI,55560,0.0026786195359216553,0.023214436013361112
P,55837,0.022702236447271495,0.03334780412739288
PB,75601,0.023946978732046424,0.041691965408478006
PG,44926,-0.010773872269185462,0.023090631680485713
PP,55765,0.010413882712364124,0.01613595834735466
RB,55874,0.03410938059751605,0.05320151624608711
RM,55593,0.033719213466264074,0.04547886543683488
RR,50979,0.08218441369843599,0.09631055113446448
RU,55783,0.045070811994742305,0.06158014782182978
SA,55258,0.07270186932731706,0.06419186111997906
SC,91277,0.0025359376638563504,0.021905716386071524
SF,39974,-0.0020645598225299275,-0.004630768571343971
SM,40005,0.00771210051559118,0.010449230224951506
SN,76070,0.03428677426603784,0.04759215689604724
SP,55729,0.06537545761630126,0.07589036972468047
SR,55592,0.058859426428710844,0.05471855558590377
SS,74453,0.0649280136733622,0.07634205401748495
TA,55544,0.08450778266753006,0.08629318732910725
UR,39971,0.040858103018794945,0.061602687328960105
V,55605,0.05455196574132603,0.06967236529850399
Y,55674,0.02774018837586078,0.045161240174118406
ZC,55492,0.009533392542898934,0.03845547123985312
ZN,76262,0.02843353214424781,0.03457161623561799
