month,n,ic,rank_ic
2020-05,245850,0.07208418343198934,0.0927105869616325
2020-06,269027,0.031290121530026305,0.049958480917383155
2020-07,316667,0.05838135743112051,0.06279629954662116
2020-08,286473,0.04772044581542484,0.06203567769382195
2020-09,296947,0.02811234245742766,0.03218881973707173
2020-10,219635,0.023749592090377775,0.0296931288636718
2020-11,287578,0.021466375327693892,0.03615102126124348
2020-12,291488,0.049472388920574,0.03565351279447317
