month,count,mean,std
2019-01,212,0.07164805705611317,0.22835349371236596
2019-02,140,0.03965598596592567,0.23981621854371016
2019-03,202,0.059132078844629746,0.22301323753390107
2019-04,183,0.06328832739429763,0.255443260632094
2019-05,190,0.05267163299171156,0.21356325048632432
2019-06,177,0.05446054212831054,0.23801890432247363
2019-07,220,0.06361656857347539,0.2298864202258865
2019-08,210,0.0646799766203566,0.1974471848232644
2019-09,188,0.0817439762690907,0.20083130423964982
2019-10,174,0.08248360872377147,0.23698389490852806
2019-11,204,0.05574446340096092,0.1906345700970573
2019-12,199,0.07786392141426048,0.20819386136179738
