datetime,n,ic,month,session_type
2019-01-02 08:59:00,36,-0.21338481338481338,2019-01,day
2019-01-02 09:00:00,39,-0.14008097165991903,2019-01,day
2019-01-02 09:01:00,39,-0.23446042189423305,2019-01,day
2019-01-02 09:02:00,40,-0.05262911024130232,2019-01,day
2019-01-02 09:03:00,40,-0.19747642969330012,2019-01,day
2019-01-02 09:04:00,40,-0.2073170731707317,2019-01,day
2019-01-02 09:05:00,40,-0.21782363977485927,2019-01,day
2019-01-02 09:06:00,40,-0.30112570356472795,2019-01,day
2019-01-02 09:07:00,40,-0.2097560975609756,2019-01,day
2019-01-02 09:08:00,40,-0.16810506566604128,2019-01,day
2019-01-02 09:09:00,40,-0.08649561433597279,2019-01,day
2019-01-02 09:10:00,41,-0.08606646639114732,2019-01,day
2019-01-02 09:11:00,41,-0.1565467381147166,2019-01,day
2019-01-02 09:12:00,41,-0.20212580895797977,2019-01,day
2019-01-02 09:13:00,41,-0.17891986062717768,2019-01,day
2019-01-02 09:14:00,41,-0.06098623546145942,2019-01,day
2019-01-02 09:15:00,41,-0.14146341463414633,2019-01,day
2019-01-02 09:16:00,41,-0.04181184668989547,2019-01,day
2019-01-02 09:17:00,42,-0.24691057919055298,2019-01,day
2019-01-02 09:18:00,42,-0.33106358102017625,2019-01,day
2019-01-02 09:19:00,42,-0.258020646018495,2019-01,day
2019-01-02 09:20:00,42,-0.2808852370800467,2019-01,day
2019-01-02 09:21:00,42,-0.2714638793201025,2019-01,day
2019-01-02 09:22:00,42,-0.10138585107653768,2019-01,day
2019-01-02 09:23:00,40,-0.08311834522957905,2019-01,day
2019-01-02 09:24:00,40,0.025708388517943572,2019-01,day
2019-01-02 09:25:00,41,-0.21223209940587875,2019-01,day
2019-01-02 09:26:00,41,-0.1685613486506782,2019-01,day
2019-01-02 09:27:00,40,0.05178479296470388,2019-01,day
2019-01-02 09:28:00,41,-0.26833943603042143,2019-01,day
2019-01-02 09:29:00,41,-0.23816995725005752,2019-01,day
2019-01-02 09:30:00,40,-0.44492400858426434,2019-01,day
2019-01-02 09:31:00,39,-0.15729540988816987,2019-01,day
2019-01-02 09:32:00,39,-0.204565008612607,2019-01,day
2019-01-02 09:33:00,39,-0.40659952478814565,2019-01,day
2019-01-02 09:34:00,40,-0.40825515947467167,2019-01,day
2019-01-02 09:35:00,40,-0.29926356803877785,2019-01,day
2019-01-02 09:36:00,39,-0.23016194331983805,2019-01,day
2019-01-02 09:37:00,39,-0.292914979757085,2019-01,day
2019-01-02 09:38:00,39,-0.2089068825910931,2019-01,day
2019-01-02 09:39:00,39,-0.20125531896620694,2019-01,day
2019-01-02 09:40:00,40,-0.16858201622748709,2019-01,day
2019-01-02 09:41:00,39,-0.12107714360341224,2019-01,day
2019-01-02 09:42:00,39,0.02601346225306284,2019-01,day
2019-01-02 09:43:00,39,-0.16304624711959836,2019-01,day
2019-01-02 09:44:00,39,-0.2615696537823644,2019-01,day
2019-01-02 09:45:00,39,0.007692307692307692,2019-01,day
2019-01-02 09:46:00,39,-0.1923466328147853,2019-01,day
2019-01-02 09:47:00,39,-0.258502024291498,2019-01,day
2019-01-02 09:48:00,39,-0.13026975066027968,2019-01,day
